"","trip","Year","month","gear","light","fleet","bait","hook","hooks","sets","SWO","BUM","lat5","lon5","lat","lon","hbf","habSWO","habBUM","season","area"
"79","101.1999.5.1.25.-75",1999,5,"101","3","1","4","4",1.404,4,8,0,25,-75,26.5,-75.5,4,3.1607e-08,6.4344e-08,"2","N"
"80","101.1999.7.1.25.-75",1999,7,"101","3","1","4","4",1.656,6,6,0,25,-75,27.5,-75.5,4,3.10685e-08,1.02916e-07,"3","N"
"81","101.2000.6.1.25.-80",2000,6,"101","3","1","4","4",5.096,6,0,0,25,-80,28,-84.5,4,0,0,"2","N"
"82","101.2001.10.1.25.-80",2001,10,"101","3","1","4","4",0.8,1,0,1,25,-80,27.5,-84.5,4,0,3.7496e-08,"4","N"
"83","101.2001.11.1.30.-70",2001,11,"101","3","1","4","4",0.4,1,2,0,30,-70,32.5,-74.5,4,3.1618e-08,4.7886e-08,"4","N"
"84","101.2001.7.1.35.-65",2001,7,"101","3","1","4","4",0.3,1,0,0,35,-65,37.5,-67.5,4,3.2958e-08,3.8404e-08,"3","N"
"85","101.2002.11.1.25.-70",2002,11,"101","3","1","4","4",4.192,14,22,0,25,-70,29.5,-72,4,3.0839e-08,5.16965e-08,"4","N"
"86","101.2002.5.1.25.-85",2002,5,"101","3","1","4","4",1.6,2,11,0,25,-85,27.5,-86.5,4,3.3549e-08,5.1944e-08,"2","N"
"87","101.2003.4.1.25.-85",2003,4,"101","3","1","4","4",2.652,3,5,0,25,-85,28.5,-85.5,4,0,1.5533e-08,"2","N"
"88","101.2006.6.1.25.-85",2006,6,"101","3","1","4","4",3.224,4,22,1,25,-85,27.5,-89,4,3.5081e-08,5.4634e-08,"2","N"
"89","101.2012.8.1.25.-85",2012,8,"101","3","1","4","4",0.8,1,0,0,25,-85,28.5,-85.5,4,0,5.0821e-08,"3","N"
"90","102.1987.11.1.40.-65",1987,11,"102","3","1","4","4",1.26,3,10,0,40,-65,40.5,-67.5,5,4.1565e-08,1.022e-09,"4","N"
"91","102.1987.5.1.20.-85",1987,5,"102","3","1","4","4",0.6,1,0,0,20,-85,23.5,-88.5,5,0,0,"2","N"
"92","102.1987.9.1.25.-80",1987,9,"102","3","1","4","4",3,3,0,1,25,-80,27.5,-84.5,5,0,3.7476e-08,"3","N"
"93","102.1988.1.1.35.-65",1988,1,"102","3","1","4","4",4.27,11,30,0,35,-65,36.5,-67.5,5,3.3232e-08,3.0862e-08,"1","N"
"94","102.1988.11.1.25.-85",1988,11,"102","3","1","4","4",2.7,5,27,0,25,-85,27.5,-86.5,5,3.5447e-08,3.495e-08,"4","N"
"95","102.1988.12.1.10.-60",1988,12,"102","3","1","4","4",2.295,3,22,2,10,-60,12.5,-60.5,5,3.8771e-08,1.2867e-07,"4","N"
"96","102.1988.6.1.25.-85",1988,6,"102","3","1","4","4",0.75,1,4,0,25,-85,28.5,-86.5,5,4.2712e-08,3.3132e-08,"2","N"
"97","102.1996.3.1.25.-85",1996,3,"102","3","1","4","4",1.6,2,12,0,25,-85,27.5,-85.5,5,3.5471e-08,2.3158e-08,"1","N"
"98","102.1996.7.1.25.-70",1996,7,"102","3","1","4","4",0.65,2,2,0,25,-70,27.5,-73.5,5,3.3097e-08,7.6831e-08,"3","N"
"99","102.1996.8.1.20.-65",1996,8,"102","3","1","4","4",0.8,2,4,1,20,-65,21.5,-67.5,5,3.1574e-08,1.676e-07,"3","N"
"100","102.1997.3.1.25.-85",1997,3,"102","3","1","4","4",2.4,3,13,0,25,-85,27.5,-86.5,5,3.5364e-08,3.47e-08,"1","N"
"101","102.1999.9.1.25.-75",1999,9,"102","3","1","4","4",0.4,1,1,0,25,-75,26.5,-75.5,5,3.3348e-08,1.241e-07,"3","N"
"102","102.2000.5.1.35.-65",2000,5,"102","3","1","4","4",0.4,1,1,0,35,-65,36.5,-67.5,5,3.3234e-08,2.1888e-08,"2","N"
"103","102.2001.10.1.40.-65",2001,10,"102","3","1","4","4",2.3,4,15,0,40,-65,40.5,-65.5,5,4.9902e-08,5.1249e-09,"4","N"
"104","102.2001.2.1.30.-70",2001,2,"102","3","1","4","4",3.4,5,27,1,30,-70,33.5,-70.5,5,2.9804e-08,4.9677e-08,"1","N"
"105","102.2001.5.1.25.-70",2001,5,"102","3","1","4","4",1.2,3,6,0,25,-70,29.5,-72.5,5,3.3138e-08,2.913e-08,"2","N"
"106","102.2001.9.1.25.-70",2001,9,"102","3","1","4","4",0.74,2,4,0,25,-70,29.5,-74.5,5,3.1333e-08,7.3605e-08,"3","N"
"107","102.2002.7.1.20.-75",2002,7,"102","3","1","4","4",1.2,3,7,0,20,-75,24.5,-75.5,5,3.332e-08,1.5724e-07,"3","N"
"108","102.2003.3.1.30.-70",2003,3,"102","3","1","4","4",1.08,3,7,0,30,-70,30.5,-72.5,5,3.062e-08,3.6562e-08,"1","N"
"109","102.2003.5.1.35.-70",2003,5,"102","3","1","4","4",1.4,2,6,0,35,-70,36.5,-70.5,5,3.3598e-08,1.296e-08,"2","N"
"110","103.1987.1.1.15.-60",1987,1,"103","3","1","4","4",1.26,5,6,1,15,-60,18.5,-63.5,6,3.7808e-08,2.5723e-07,"1","N"
"111","103.1987.12.1.25.-80",1987,12,"103","3","1","4","4",0.756,3,0,0,25,-80,28.5,-84.5,6,0,0,"4","N"
"112","103.1987.6.1.25.-75",1987,6,"103","3","1","4","4",0.75,1,5,0,25,-75,28.5,-78.5,6,3.8979e-08,1.2205e-07,"2","N"
