"Year","area","fleet","ratioMean","ratioSE","deltaMean","deltaSE"
2005,"N","3",1120.42107621644,532.236594290698,768.29758615396,531.871846528965
2005,"S","2",2077.95604459058,512.474857779432,1862.51003619757,654.142790270423
2005,"S","3",1188.21408013854,205.01115290237,1325.14127986142,397.699599195419
2006,"N","1",172.613900530828,64.8881395497909,282.195422616449,154.425115267293
2006,"N","2",4113.09209163287,796.635880039946,3916.18733552336,785.239147879055
2006,"N","3",138.038626609442,6.14444997058998,57.5171244704997,35.2219273610454
2006,"S","2",1908.94092370062,500.680337788298,2110.82801546647,649.753205130347
2006,"S","3",973.706259428496,164.118595802622,922.769342858255,314.856165167245
2007,"N","1",88.0234989706995,34.3357693052404,122.464945541698,64.3445521998807
2007,"N","2",1626.18523527432,484.518932169387,1424.32620345041,342.612544096237
2007,"N","3",56.828707623079,12.7683002475445,48.3957984067451,15.7469895549146
2007,"S","2",1265.97593505797,222.493550593787,1096.77399019902,234.026509579321
2007,"S","3",605.467110686142,138.654286458614,447.903229158535,200.087992842266
2008,"N","1",241.484095948397,76.4917182833192,194.297229407111,71.2838177850298
2008,"N","2",3700.71389901575,901.073217336448,3482.21159987148,753.576553464795
2008,"N","3",49.8212189512946,4.85793415803318,36.8465381191231,7.65259744702248
2008,"S","2",1333.11518069556,243.339794304264,1403.53199647505,327.407463388251
2008,"S","3",899.779503225557,421.687692937505,1103.69300420672,583.096179845421
2009,"N","1",256.376368249366,76.7376371097879,301.182762356706,122.195597210142
2009,"N","2",3301.35413349425,905.173531241402,3414.42290789948,673.034977009946
2009,"N","3",84.9402779408616,11.6631029439352,72.9078695842177,15.82120629507
2009,"S","2",2238.42157550475,459.06569199849,2279.20855140325,524.994008632836
2009,"S","3",398.920427358446,118.603210139468,253.991864217076,143.748553205779
2010,"N","1",134.239015828028,60.7242422660833,140.28901561172,99.0839564398038
2010,"N","2",5029.52095894967,1707.16497120964,3464.7518075385,736.787577600161
2010,"N","3",58.9446239825052,9.36019085909651,68.2567508775568,20.8710840085281
2010,"S","2",984.851755784373,261.477946776876,1363.47773464211,406.554140361035
2010,"S","3",63.6399630139463,15.6121788444383,99.5595084541234,74.1360082699097
2011,"N","1",256.402815546684,140.501770814199,122.480150697313,59.3709820786261
2011,"N","2",2187.47622540537,283.087258795075,2351.9633003821,392.80879582076
2011,"N","3",145.432656291216,22.6186765689053,110.248648519731,34.6160871989944
2011,"S","2",1522.09220420121,433.478464648263,2057.85272367727,715.701873459197
2011,"S","3",591.741407973502,151.181043422904,594.540292602512,151.121847229072
2012,"N","1",190.78569224122,67.9240709111734,151.050454569302,82.015835559247
