"","area","fleet","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"113","S","3","1992",3990.20026464126,NA,NA,NA,NA,NA,NA
"114","S","3","1993",6148.62943902485,NA,NA,NA,NA,NA,NA
"115","S","3","1994",2710.60943909928,NA,NA,NA,NA,NA,NA
"116","S","3","1995",2615.3271151007,NA,NA,NA,NA,NA,NA
"117","S","3","1996",1682.26288127446,NA,NA,NA,NA,NA,NA
"118","S","3","1997",1502.60422921514,NA,NA,NA,NA,NA,NA
"119","S","3","1998",3421.80116128213,NA,NA,NA,NA,NA,NA
"120","S","3","1999",3904.35394185391,NA,NA,NA,NA,NA,NA
"121","S","3","2000",3196.86650595748,NA,NA,NA,NA,NA,NA
"122","S","3","2001",4801.98963052614,NA,NA,NA,NA,NA,NA
"123","S","3","2002",2338.3076597577,NA,NA,NA,NA,NA,NA
"124","S","3","2003",741.220032518248,NA,NA,NA,NA,NA,NA
"125","S","3","2004",1262.08512487746,NA,NA,NA,NA,NA,NA
"126","S","3","2005",1269.4691218892,NA,NA,NA,NA,NA,NA
"127","S","3","2006",918.154903753055,NA,NA,NA,NA,NA,NA
"128","S","3","2007",224.961577351549,NA,NA,NA,NA,NA,NA
"129","S","3","2008",378.806398159852,NA,NA,NA,NA,NA,NA
"130","S","3","2009",340.903958831484,NA,NA,NA,NA,NA,NA
"131","S","3","2010",201.470641836006,NA,NA,NA,NA,NA,NA
"132","S","3","2011",391.718743951372,NA,NA,NA,NA,NA,NA
"133","S","3","2012",342.887725459322,NA,NA,NA,NA,NA,NA
"134","S","3","2013",281.520633651499,NA,NA,NA,NA,NA,NA
"135","S","3","2014",180.920524215979,NA,NA,NA,NA,NA,NA
"136","S","3","2015",58.5935935075923,NA,NA,NA,NA,NA,NA
"137","S","3","2016",290.030322560979,NA,NA,NA,NA,NA,NA
"138","S","3","2017",214.004648720474,NA,NA,NA,NA,NA,NA
"139","S","3","2018",215.198208551915,NA,NA,NA,NA,NA,NA
